Titik,Latitude,Longitude,Total_Pend_Motor_Tahun,Total_Pend_Mobil_Tahun,Klasifikasi_Motor,Tarif_Dasar_Motor,Klasifikasi_Mobil,Tarif_Dasar_Mobil
Petra Computer,-7.4202435838475935,109.2299399374328,114229000.0,10246000.0,Sedang,2000,Sedang,4000
Mitra Phone,-7.419094546129115,109.23015333537798,68416000.0,18540000.0,Rendah,1000,Tinggi,5000
Omnia,-7.419507239431145,109.2302725951044,66306000.0,14684000.0,Rendah,1000,Sedang,4000
Vienna Hotel,-7.419765600558336,109.23131472208952,124633000.0,12856000.0,Sedang,2000,Sedang,4000
Dbest,-7.42026924658594,109.23306271838815,64778000.0,14108000.0,Rendah,1000,Sedang,4000
Masjid Jensud,-7.420392928020217,109.2346576374328,183736000.0,21274000.0,Sedang,2000,Tinggi,5000
Seblak Bloom,-7.42138767195754,109.23460935767164,64196000.0,6778000.0,Rendah,1000,Rendah,3000
Gambir Kuning,-7.423175702249202,109.23374963558209,82555000.0,10534000.0,Rendah,1000,Sedang,4000
Ps. Cikebrok,-7.4239440748907075,109.23513979325372,97228000.0,12168000.0,Rendah,1000,Sedang,4000
Isabel Baby Shop,-7.425467697672212,109.23503783373144,101569000.0,11322000.0,Sedang,2000,Sedang,4000
Kartini,-7.422717543282213,109.23119154609287,107802000.0,18346000.0,Sedang,2000,Tinggi,5000
Quattro,-7.421858084765207,109.23073219325371,199136000.0,14790000.0,Tinggi,3000,Sedang,4000
Kalih,-7.421691274382588,109.23013037986726,139935000.0,12662000.0,Sedang,2000,Sedang,4000
Benang Raja,-7.390928186656784,109.21806429822226,302354000.0,17764000.0,Tinggi,3000,Tinggi,5000
Erha dan Amor,-7.422665242642584,109.25514773662192,666237000.0,31190000.0,Tinggi,3000,Tinggi,5000
Alfamart Kombas,-7.423200807707742,109.2475968662686,197027000.0,10816000.0,Tinggi,3000,Sedang,4000
Alfamart MT Haryono,-7.424280702797295,109.2510320625672,205903000.0,13038000.0,Tinggi,3000,Sedang,4000
ATM BRI,-7.422702387302562,109.24167943206932,300706000.0,11768000.0,Tinggi,3000,Sedang,4000
Bengkel Kampus,-7.419560990998703,109.25437894721786,164213000.0,5784000.0,Sedang,2000,Rendah,3000
Boba Time,-7.408549282782682,109.24554437394016,101084000.0,3186000.0,Sedang,2000,Rendah,3000
Bone Baby Shop,-7.424535847409395,109.24862762023884,190576000.0,16800000.0,Tinggi,3000,Tinggi,5000
Chanong,-7.423356257971479,109.24602415092536,185604000.0,21720000.0,Tinggi,3000,Tinggi,5000
Mixue,-7.422877924894778,109.24436840228404,175151000.0,3380000.0,Sedang,2000,Rendah,3000
Istana Mainan,-7.426176207143054,109.248526319809,175297000.0,18428000.0,Sedang,2000,Tinggi,5000
Indojaya,-7.42303578001115,109.24709200674629,238644000.0,9182000.0,Tinggi,3000,Rendah,3000
Queen Bakery,-7.423145769205995,109.24721486441793,222104000.0,28492000.0,Tinggi,3000,Tinggi,5000
Es Duren dan Bakso,-7.420197902868802,109.2466341968967,127131000.0,14796000.0,Sedang,2000,Sedang,4000
Harmoni,-7.4184052573999875,109.25393144232464,286131000.0,2892000.0,Tinggi,3000,Rendah,3000
Mac Mohan,-7.425574900645584,109.24920488426817,150268000.0,4056000.0,Sedang,2000,Rendah,3000
